n lon lat
1 139.7775199 35.6835363
2 139.7778005 35.6835302
3 139.7737067 35.6797677
4 139.7738401 35.682991
5 139.7722314 35.6799729
6 139.7776577 35.676032
7 139.7692122 35.6778932
8 139.7782875 35.6757734
9 139.7788141 35.6765518
10 139.78049 35.6755412
11 139.7687216 35.6807221
12 139.7783529 35.6757854
13 139.7830592 35.6722626
14 139.7706406 35.6739394
15 139.7659428 35.6827204
16 139.7629424 35.6853932
17 139.7636828 35.6784185
18 139.7748448 35.6846353
19 139.7789021 35.6780659
20 139.7657902 35.673752
21 139.7644441 35.6848901
22 139.7626733 35.673301
23 139.7783628 35.6818087
24 139.7785314 35.6787716
25 139.7744769 35.6747712
26 139.7740838 35.6876961
27 139.7775802 35.6864525
28 139.7683633 35.6800984
29 139.7629314 35.6806499
30 139.7728485 35.6813895
31 139.77422 35.6813939
32 139.7779933 35.6803131
33 139.771729 35.6819151
34 139.7758977 35.6804556
35 139.7737138 35.6802632
36 139.7729528 35.6805818
37 139.7762026 35.6772926
38 139.7744436 35.6834547
39 139.7748454 35.6846287
40 139.7687412 35.6861326
41 139.7730688 35.6813027
42 139.7806565 35.6806323
43 139.7738852 35.6825192
44 139.7729717 35.6813583
45 139.7755257 35.6757692
46 139.7744142 35.6845516
47 139.7771712 35.6746952
48 139.7804741 35.6799297
49 139.7672965 35.6771395
50 139.765793 35.6737779
51 139.7646375 35.6824972
52 139.7730115 35.6776544
53 139.7794568 35.6785505
54 139.7677627 35.6756018
55 139.7766159 35.6772181
56 139.7791297 35.6781966
57 139.7709145 35.6796265
58 139.7645009 35.6822404
59 139.7712475 35.6827289
60 139.7646861 35.6806342
61 139.7721252 35.6831742
62 139.7657154 35.6827185
63 139.7757258 35.6874754
64 139.7810947 35.6817411
65 139.7642978 35.6731832
66 139.7653326 35.6829629
67 139.7657461 35.6738038
68 139.7652051 35.6726025
69 139.7699895 35.6873205
70 139.7688122 35.6839577
71 139.7788554 35.6781901
72 139.7653424 35.6804131
73 139.7722969 35.676319
74 139.7651876 35.6803297
75 139.7736706 35.6787441
76 139.7713328 35.6737138
77 139.7638092 35.6832114
78 139.7747257 35.681612
79 139.7750211 35.6861588
80 139.7746783 35.680372
81 139.7729565 35.6785618
82 139.7710534 35.6745081
83 139.7814774 35.6748729
84 139.7694969 35.6837755
85 139.7640199 35.6833361
86 139.7813464 35.6840074
87 139.7691244 35.6810261
88 139.7792603 35.6878513
89 139.7688122 35.6772393
90 139.7740982 35.682536
91 139.7632557 35.6779674
92 139.7730233 35.6792138
93 139.7715283 35.6850529
94 139.7738647 35.6861684
95 139.7711704 35.677103
96 139.7667058 35.6845884
97 139.7635437 35.6869503
98 139.7791814 35.6746758
99 139.7785693 35.6761701
100 139.7639411 35.6736659
101 139.7636409 35.6744885
102 139.7703125 35.6873467
103 139.772616 35.6793549
104 139.7750921 35.6791814
105 139.775969 35.6869683
106 139.7699955 35.6762572
107 139.7784303 35.6806971
108 139.7643714 35.6735143
109 139.7761047 35.677604
110 139.7675046 35.6777802
111 139.7788788 35.6782443
112 139.781629 35.6749704
113 139.7796016 35.6775903
114 139.7656582 35.6737965
115 139.7742831 35.684552
116 139.7712288 35.6762414
117 139.766651 35.670032
118 139.7716689 35.6802573
119 139.7622865 35.6871524
120 139.7645937 35.6754776
121 139.776012 35.680636
122 139.7651777 35.6742052
123 139.7665278 35.685951
124 139.765952 35.6814054
125 139.7780508 35.6802509
126 139.7651243 35.6742999
127 139.7731558 35.6849243
128 139.7687038 35.6846321
129 139.7721289 35.6733943
130 139.7702563 35.67723
131 139.7680851 35.6844136
132 139.7653323 35.6879307
133 139.773718 35.6823393
134 139.7795688 35.6779021
135 139.7781696 35.6770452
136 139.7723432 35.6829336
137 139.7805004 35.6824778
138 139.774676 35.6835514
139 139.781439 35.6872934
140 139.7773914 35.682398
141 139.7763951 35.6789289
142 139.7702472 35.6873248
143 139.7734621 35.6874838
144 139.7789144 35.6793934
145 139.7727841 35.683793
146 139.7644332 35.6755151
147 139.7643428 35.673239
148 139.7660046 35.6865235
149 139.7626675 35.6749612
150 139.7721665 35.6871319
151 139.7643563 35.6735378
152 139.7705764 35.6796616
153 139.7748564 35.6798721
154 139.7691036 35.680993
155 139.7741924 35.6794081
156 139.7638822 35.6869143
157 139.7656742 35.681049
158 139.7661514 35.6863856
159 139.7698859 35.6789671
160 139.77401 35.6825426
161 139.765901 35.6845768
162 139.7695731 35.6757026
163 139.7756873 35.6818075
164 139.7638344 35.6870161
165 139.7711382 35.6738084
166 139.767344 35.674077
167 139.7723837 35.6864185
168 139.7647576 35.6815841
169 139.7672595 35.6774204
170 139.7636201 35.6862111
171 139.7746999 35.6846054
172 139.7637971 35.6746144
173 139.7770762 35.6810287
174 139.7761836 35.6751052
175 139.7733748 35.6792172
176 139.7756518 35.6730659
177 139.7803299 35.6765908
178 139.7807895 35.6835715
179 139.7733084 35.6818499
180 139.7721761 35.6733838
181 139.7632857 35.6726199
182 139.7616264 35.6798594
183 139.7710691 35.6757126
184 139.7717117 35.6806096
185 139.7684763 35.6841234
186 139.7693324 35.6712526
187 139.7662282 35.6756231
188 139.7800047 35.6768336
189 139.7632495 35.6668046
190 139.7678433 35.6786319
191 139.7710969 35.6855203
192 139.7729968 35.6800627
193 139.7783348 35.6757557
194 139.7734244 35.680306
195 139.7805237 35.682364
196 139.7771814 35.6836115
197 139.7786518 35.6751707
198 139.7648983 35.6826252
199 139.7731951 35.6819534
200 139.7731332 35.6814065
201 139.7668706 35.6770355
202 139.7768828 35.6755473
203 139.7777534 35.6759724
204 139.7660882 35.6734884
205 139.7730387 35.6801312
206 139.7803193 35.6865857
207 139.7703862 35.6761007
208 139.7667634 35.6764154
209 139.7705807 35.677338
210 139.768126 35.674908
211 139.7736644 35.6861101
212 139.7757149 35.6787153
213 139.7622796 35.6783055
214 139.7652051 35.6775479
215 139.7645309 35.6743573
216 139.7646866 35.6813244
217 139.7759534 35.6805435
218 139.7647629 35.672931
219 139.7761267 35.6774128
220 139.7659262 35.6772941
221 139.7704179 35.6743842
222 139.7704377 35.6773898
223 139.7814669 35.6863622
224 139.7736445 35.6826829
225 139.7649878 35.6741082
226 139.7750948 35.6852755
227 139.7727482 35.6807913
228 139.7713387 35.680766
229 139.7741144 35.6834779
230 139.7684212 35.6766239
231 139.7765646 35.6771409
232 139.7798254 35.6747331
233 139.7702905 35.6799627
234 139.7791502 35.6850405
235 139.7766088 35.6751098
236 139.7801145 35.6797594
237 139.7677554 35.6786701
238 139.770243 35.6818471
239 139.7667123 35.6753513
240 139.7759407 35.6804384
241 139.77716 35.6754528
242 139.768953 35.6753711
243 139.7728285 35.6865234
244 139.7744938 35.6789219
245 139.7735629 35.682094
246 139.7742424 35.6873276
247 139.7688275 35.6854013
248 139.7708588 35.6805297
249 139.7734359 35.6837999
250 139.765874 35.6865878
251 139.7616617 35.6865758
252 139.7769442 35.6763056
253 139.7629746 35.6854997
254 139.7678331 35.67558
255 139.7763794 35.6818573
256 139.7818053 35.6824523
257 139.7665508 35.6808535
258 139.7738943 35.6864633
259 139.7798573 35.6841607
260 139.771429 35.6850537
261 139.7666878 35.6746848
262 139.7707545 35.6737456
263 139.7667407 35.6772199
264 139.7761223 35.6818944
265 139.7699469 35.6761844
266 139.778428 35.6808238
267 139.7690406 35.6802017
268 139.7720703 35.6752967
269 139.7639159 35.6832763
270 139.7750671 35.68763
271 139.7678056 35.6737128
272 139.7801104 35.6840077
273 139.7695673 35.6810732
274 139.780284 35.6797294
275 139.7746771 35.6842549
276 139.7765153 35.6865995
277 139.773841 35.6783224
278 139.7696624 35.6818119
279 139.7691161 35.6832994
280 139.7683973 35.6861834
281 139.7650573 35.674201
282 139.7722991 35.6875079
283 139.7671886 35.6751761
284 139.7633816 35.6869764
285 139.776968 35.6746435
286 139.7772632 35.6822677
287 139.7786606 35.6812002
288 139.7755956 35.6819196
289 139.7780757 35.6834256
290 139.7763675 35.6818357
291 139.7766104 35.6745735
292 139.7747405 35.6787582
293 139.7774813 35.6757604
294 139.7646849 35.6850263
295 139.7620817 35.6820319
296 139.7748056 35.6806975
297 139.7700914 35.6739898
298 139.7773957 35.6836087
299 139.7759022 35.6855306
300 139.7685473 35.6768285
301 139.7690095 35.6803562
302 139.7643835 35.6732171
303 139.7725194 35.6762301
304 139.7709015 35.6838242
305 139.7658505 35.6817854
306 139.7696792 35.6763882
307 139.7745182 35.6799342
308 139.7776946 35.6797139
309 139.7747381 35.6786036
310 139.778426 35.6866967
311 139.7635265 35.6864178
312 139.7725818 35.6859342
313 139.7806486 35.675561
314 139.7805682 35.6824833
315 139.7739565 35.6827363
316 139.7741738 35.6836219
317 139.7685168 35.6733229
318 139.7804244 35.6792855
319 139.7634882 35.6743846
320 139.7675205 35.6740748
321 139.7673165 35.6740954
322 139.7643793 35.6754587
323 139.7629923 35.6849131
324 139.7632952 35.67785
325 139.7642749 35.6802369
326 139.7757734 35.6759175
327 139.7821014 35.6752025
328 139.7777168 35.6791091
329 139.7689979 35.6820817
330 139.7736355 35.6778826
331 139.7688326 35.673176
332 139.7716943 35.6753419
333 139.7758141 35.6802243
334 139.7674244 35.6841555
335 139.7756488 35.6818585
336 139.7779232 35.6790214
337 139.7733984 35.6784966
338 139.7659237 35.6751993
339 139.781171 35.6752372
340 139.7642279 35.6797973
341 139.7654858 35.6788879
342 139.780164 35.672765
343 139.7650081 35.6831456
344 139.7786569 35.6741511
345 139.7778326 35.6759435
346 139.7796836 35.6790645
347 139.7631828 35.6769303
348 139.7643337 35.6753907
349 139.7765154 35.6744566
350 139.7752368 35.6794176
351 139.7786045 35.6850252
352 139.7688408 35.6804042
353 139.7712347 35.6746172
354 139.7788473 35.6780871
355 139.769792 35.6818256
356 139.773271 35.6819231
357 139.7695444 35.6761111
358 139.7798128 35.6807563
359 139.7748734 35.6754207
360 139.7732841 35.6799145
361 139.7699842 35.6859685
362 139.7740247 35.6861911
363 139.7671368 35.6835881
364 139.7691382 35.6801593
365 139.7768387 35.6741358
366 139.7674104 35.678131
367 139.7724489 35.6864288
368 139.772991 35.6851307
369 139.7791984 35.6786818
370 139.7809284 35.6869925
371 139.7633969 35.6853987
372 139.7689034 35.6746908
373 139.7635062 35.6870706
374 139.7667257 35.6746602
375 139.7695926 35.6815835
376 139.7766273 35.6861927
377 139.7732715 35.6818469
378 139.7777742 35.672872
379 139.7641162 35.673586
380 139.774474 35.6800435
381 139.766858 35.6890334
382 139.7649134 35.6819946
383 139.7698706 35.6726557
384 139.767039 35.6843288
385 139.7771131 35.6834824
386 139.7795855 35.6822635
387 139.7646905 35.6826576
388 139.7775684 35.6796539
389 139.7772292 35.6753527
390 139.7795299 35.6871206
391 139.765084 35.6829592
392 139.7729836 35.6826618
393 139.7632067 35.6853733
394 139.7775064 35.6787939
395 139.7783478 35.6767712
396 139.7640487 35.673162
