p sp 3278 4982
a 1 764 2.1 1.8
a 2 764 25.6 21.9
a 2 2162 7.8 6.7
a 2 2781 23.1 19.7
a 2 3224 64.9 55.5
a 3 563 41.4 35.4
a 3 903 48.3 41.3
a 3 2188 49.3 42.1
a 3 3120 16.0 13.7
a 4 542 15.9 13.6
a 4 551 56.7 48.5
a 4 961 7.5 6.4
a 4 1550 30.8 26.3
a 5 1116 40.4 34.5
a 5 1992 71.7 61.3
a 5 2225 5.9 5.0
a 5 2957 41.4 35.4
a 6 293 34.1 29.1
a 6 2735 32.6 27.9
a 6 3075 9.3 7.9
a 7 1832 121.9 104.2
a 7 2032 22.6 19.3
a 7 2364 52.3 44.7
a 7 3015 31.3 26.8
a 8 193 4.7 4.0
a 8 345 45.2 38.6
a 8 1200 41.8 35.7
a 9 642 64.7 55.3
a 9 1450 43.5 37.2
a 9 1750 29.3 25.0
a 9 2314 10.2 8.7
a 10 489 6.9 5.9
a 10 1306 103.8 88.7
a 10 1899 10.5 9.0
a 11 1366 6.3 5.4
a 11 2291 7.8 6.7
a 11 2706 7.1 6.1
a 12 193 3.7 3.2
a 12 815 34.5 29.5
a 12 1465 5.1 4.4
a 13 3204 267.9 229.0
a 14 739 35.1 30.0
a 14 3000 43.5 37.2
a 14 3101 6.2 5.3
a 15 1809 14.9 12.7
a 15 1957 10.5 9.0
a 15 2497 8.2 7.0
a 16 253 12.2 10.4
a 16 895 151.9 129.8
a 16 1670 11.4 9.7
a 16 2346 30.3 25.9
a 17 1937 85.7 73.2
a 17 2462 10.0 8.5
a 17 2536 34.5 29.5
a 18 39 0.7 0.6
a 19 354 5.5 4.7
a 19 767 10.6 9.1
a 19 1158 15.3 13.1
a 19 2740 12.0 10.3
a 20 50 2.9 2.5
a 20 436 37.2 31.8
a 20 1066 4.6 3.9
a 21 1211 6.7 5.7
a 21 1529 175.8 150.3
a 21 2216 7.5 6.4
a 21 3121 6.9 5.9
a 22 1833 76.1 65.0
a 23 1862 52.1 44.5
a 23 2047 70.6 60.3
a 23 2223 7.8 6.7
a 24 857 30.2 25.8
a 24 1788 45.1 38.5
a 24 1916 39.5 33.8
a 24 3197 58.5 50.0
a 25 402 7.5 6.4
a 25 625 7.5 6.4
a 25 2164 10.0 8.5
a 25 2765 17.2 14.7
a 26 246 43.4 37.1
a 26 1058 54.8 46.8
a 26 2909 217.2 185.6
a 26 2986 114.5 97.9
a 27 410 92.0 78.6
a 27 771 71.9 61.5
a 27 2766 33.6 28.7
a 27 3222 35.1 30.0
a 28 1545 57.3 49.0
a 28 2360 103.5 88.5
a 28 3164 6.6 5.6
a 29 963 9.2 7.9
a 29 1995 100.7 86.1
a 29 2464 10.8 9.2
a 29 2783 8.0 6.8
a 30 41 22.1 18.9
a 30 773 18.3 15.6
a 30 2934 5.8 5.0
a 31 1109 8.0 6.8
a 32 1929 3.8 3.2
a 32 2795 7.8 6.7
a 32 3016 32.1 27.4
a 33 1236 26.2 22.4
a 33 1886 43.8 37.4
a 33 2586 37.5 32.1
a 33 3205 115.9 99.1
a 34 217 11.0 9.4
a 34 240 4.3 3.7
a 34 1451 6.9 5.9
